fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
7/03/2017 22:30;10;622290012;-7557148542;Mujer;30;Soltero(a);Caminata;Hurto a persona;Sin dato;No;No;Villa Carlota;#1403;14;Vehículo particular;Poblado;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 19:30;10;622561455;-7555907515;Hombre;31;Soltero(a);Caminata;Hurto a persona;Descuido;No;No;Las Palmas S.E.;#9001;90;Conjunto residencial;Buenos Aires;Bicicleta;Vehículos de 2 o 4 ruedas;Vehículo;Sin dato;6/03/2025 4:07
7/03/2017 21:00;10;625321361;-755700263;Hombre;49;Casado(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;San Benito;#1006;10;Vía pública;Candelaria;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 9:00;10;624517898;-7555908092;Hombre;32;Unión marital de hecho;Caminata;Hurto a persona;Atraco;De celular;Arma de fuego;Boston;#1016;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 16:00;10;62525817;-7556702223;Hombre;63;Casado(a);Caminata;Hurto a persona;Sin dato;No;No;La Candelaria;#1019;10;Vehículo particular;Candelaria;Radio;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 0:10;10;621024603;-7556975622;Hombre;26;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;El Poblado;#1418;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 14:00;10;625728495;-7556880321;Mujer;33;Unión marital de hecho;Caminata;Hurto a persona;Descuido;Sin dato;No;Estación Villa;#1005;10;Institución de educación superior;Candelaria;Tarjeta para computador;Tecnología;Mercancía;Blanco;6/03/2025 4:07
7/03/2017 16:00;10;627466063;-7559044328;Hombre;29;Soltero(a);Motocicleta;Hurto a persona;Atraco;De celular;Arma de fuego;Facultad de Minas U. Nal;#Inst_5;7;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 14:00;10;625378684;-7557485428;Hombre;22;Soltero(a);Autobus;Hurto a persona;Cosquilleo;De celular;No;San Benito;#1006;10;Bus de servicio público;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 6:50;10;619820916;-7559455779;Hombre;38;Unión marital de hecho;Caminata;Hurto a persona;Descuido;No;No;La Colina;#1511;15;Vehículo particular;Belén;Sin dato electrodomésticos;Electrodomésticos;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 23:10;10;629458417;-7557316449;Hombre;33;Unión marital de hecho;Motocicleta;Hurto a persona;Atraco;No;Arma de fuego;Castilla;#0511;5;Vía pública;Castilla;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
7/03/2017 17:00;10;625737027;-7555449095;Mujer;54;Casado(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;La Mansión;#0802;8;Vía pública;Villa Hermosa;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
